AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-0.4045115827948496,5.975056493664168,5.5985145660588245,3.6807648395060704,1.5661143814365714,4.684438840860068,2.00290941462885,0.2761341624594822,2.3189384664473325,1.0066765786800014,3.920520185446776,-4.684559628719104,-0.3230253639492415,0.6690015243255054
3.1168703371365805,7.454897697123834,7.098840430362396,7.747515414712904,2.627532580852065,5.749917700172818,5.664147408091343,5.49615031914628,5.4208812540285445,1.8771019301999576,11.30619552763434,0.6666156161892154,7.617461300854671,3.664184989223135
11.97480887448562,9.825410927852149,8.836942847529375,12.774822644331897,4.42707676497748,6.8486922616748425,8.366725111683303,9.133869548727349,10.793007108444106,7.650463148854694,24.0618573461502,7.420018519045565,21.983902205528604,10.628742084050495
20.54887006022661,10.646640920447645,10.407772605522148,14.000012680905336,4.69740545398082,6.958274364581334,9.091268472561069,9.12913407836689,15.296675140500554,13.358328870637196,26.742489777818083,11.362057211193182,26.768417932529708,17.474923739552764
23.390374601375093,9.443993524367562,11.765353844742052,10.031838969525412,3.1162126491289657,5.192711389397214,7.647592053330474,5.640109047951322,16.03189967145316,14.76450212973204,18.04458660074983,10.486190062753206,20.8063421199452,20.599142693184557
19.2324124921992,7.851452694219221,13.063905076428592,7.817375470161999,2.4813733248737577,1.821623843600774,4.54834998072565,0.8700579327130271,12.407894242596978,11.06700694389491,10.13150042021972,6.113967381720983,15.08341591249289,19.258102267106405
11.692563512847167,7.69598999379857,14.210447928961084,6.0369299501295615,2.298200972532419,-1.6393289034319118,0.7020957786436215,-2.625379142690006,6.364328282215041,4.686943413428557,-0.6712493813575648,1.5004160838179916,5.743134469735629,15.464329933529608
5.982700391235728,8.995246857599145,14.561597557243642,5.599314702115411,2.577742094166441,-3.571214273200571,-2.8613035592072364,-3.768103915467521,0.6830438347762309,-1.0531322205215083,-4.067233809441662,-0.778349259097451,2.123992506964376,11.8268779572112
4.544434405779877,9.90418460799955,13.223223697917277,7.731703522600727,3.809634251596681,-3.6605475578127056,-5.206464530852064,-3.434823160946632,-3.0515776384773066,-4.227715884109436,2.2624191503461613,-0.5492588134938052,6.018235397442919,9.435098203251988
5.506141056029726,8.660918877506262,9.887331096198192,7.141625460177198,3.998238058679026,-3.17114886698746,-5.705274275414695,-3.247565000023691,-5.098985425172868,-5.000465527879685,2.7926424064847373,0.3235616375720243,5.462911301155071,7.520965920701704
5.137052740998858,5.534402025829893,5.471871097712841,4.17864614848884,3.197741353212761,-3.660390593998103,-4.229405903148014,-3.813092977357771,-6.459162003321835,-4.6818734950064425,-0.0305070178476756,-0.1550271886660947,2.693079283043997,4.79673709672407
1.6729235646314276,2.7333650148085398,1.7739754095537092,0.8545005829039157,2.608651995048482,-5.277080395241836,-1.20987655304436,-4.044743779513137,-7.31646445495343,-4.3114206894700615,-4.360571374753338,-2.362103262554677,-1.3800947045262264,0.9112689889884278
-3.24863598489436,2.2329034922622046,0.1592954449330155,-3.853705609106014,1.8477218249426728,-6.346694556710435,2.517443020414765,-2.245742943797123,-6.709013693414689,-4.007370333489424,-12.864193262207396,-4.871517665397708,-8.664076207700191,-3.339454752911012
-6.738809950525574,3.5493909461644684,0.303673560014662,-7.172022087034432,1.866423391809996,-4.823873861132134,6.020651702045782,1.9771238652631915,-3.8461686010321,-3.507415868573177,-15.630808033093276,-5.864859811204976,-11.92782800250311,-7.015067375056018
-7.979903974559953,3.651323397095096,0.1694845640013795,-8.81746704811162,2.8836318649106265,-0.3493564585032196,8.577203587195317,6.7433397995166935,0.2324787092989633,-3.282051566144815,-12.530295760968851,-4.858723999178447,-11.156329675454169,-10.076596654647558
-9.245690366613822,-0.6845132490262378,-2.560859497107751,-11.750220412617065,2.468018682660565,5.079768083574006,9.84992674127026,8.91779532283207,2.5176586419973788,-5.024516461342445,-13.483408911280913,-3.242983676638484,-13.242207119858664,-13.415046259127395
-13.560864770646962,-9.95810389754233,-8.64058589391884,-15.381891112579089,0.7436379234379542,8.594772543149807,9.910483499797683,6.457270148552632,0.0248809119910617,-10.669560113213072,-16.7775126724048,-3.1374302281397988,-16.944097099274533,-17.870212502022646
